id	name	address
343	Montreal Bellechasse, QC	6275, boul. St. Laurent, Montreal, QC, H2S 3C3
401	Cote des Neiges, QC	6700, chemin de la Cote-des-Neiges, Montreal, QC, H3S 2B2
646	Vaudreuil, QC	50, boul. de la Cite-des-Jeunes, Vaudreuil-Dorion, QC, J7V 9L5
222	Repentigny, QC	115, boul. Brien, Repentigny, QC, J6A 8J3
400	Montreal Maisonneuve, QC	3025, rue Sherbrooke Est, Montreal, QC, H1W 1B2
181	Ile Perrot, QC	101, boul. Cardinal-Leger, Pincourt, QC, J7W 3Y3
435	Montreal Downtown, QC	1500, avenue Atwater, Place Alexis Nihon, Montreal, QC, H3Z 1X5
627	St. Jacques - Montreal, QC	7200, boul. de Sainte-Anne-de-Bellevue, Montreal, QC, H4B 1T4
230	Ville La Salle, QC	2221, boul. Angrignon, LaSalle, QC, H8N 3E3
117	Verdun, QC	3180, rue Wellington, Verdun, QC, H4G 1T3
332	Boucherville, QC	1055, boul. de Montarville, Boucherville, QC, J4B 6P5
256	Longueuil, QC	2211, boul. Roland-Therrien, Longueuil, QC, J4N 1P2
147	Chateauguay, QC	140, boul. d'Anjou, Chateauguay, QC, J6K 1C4
157	Hawkesbury, ON	1525 Cameron Street, Hawkesbury, ON, K6A 3R3
190	Greenfield Park, QC	4909, boul. Taschereau, Greenfield Park, QC, J4V 3K3
200	Joliette, QC	1475, boul. Firestone, Joliette, QC, J6E 9E5
396	Delson, QC	65 132 Route, Delson, QC, J5B 1H1
484	St. Bruno, QC	900, rue de l'Etang, Saint-Bruno-de-Montarville, QC, J3V 6K8
643	Brossard, QC	9900, boul. Leduc, Quartier DIX30, Brossard, QC, J4Y 0B4
115	Valleyfield, QC	1770, boul. Monseigneur-Langlois, Salaberry-de-valleyfield, QC, J6S 5R1
461	Mont-Tremblant, QC	370 Route 117, Mont-Tremblant, QC, J8E 2X3
228	Beloeil, QC	600, boul. Sir-Wilfrid-Laurier, Beloeil, QC, J3G 4J2
626	Chambly, QC	3400, boul. Frechette, Chambly, QC, J3L 6Z6
238	Alexandria, ON	400 Main Street South, Alexandria, ON, K0C 1A0
